"ProjectID","Path","Exists","Documents","Expected","Actual","Safe"
"427855","Engenharia\Ecovias Capixaba\Projetos\Dupli. Contor. de Ibiraçu\0 - Documentos Gerais\Documentos com unidade\GRD-COM-EC1-Dupli. Contor. de Ibiraçu-0000001","True","1","GRD-COM-EC1-Dupli. Contor. de Ibiraçu-0000001.xlsx","GRD-COM-EC1-Dupli. Contor. de Ibiraçu-0000001.xlsx","True"
"427858","Engenharia\Ecovias Capixaba\Projetos\Dupli. Contor. de Fundão\0 - Documentos Gerais\Documentos com unidade\GRD-COM-EC1-Dupli. Contor. de Fundão-0000001","True","1","GRD-COM-EC1-Dupli. Contor. de Fundão-0000001.xlsx","GRD-COM-EC1-Dupli. Contor. de Fundão-0000001.xlsx","True"
"427860","Engenharia\Ecovias Capixaba\Projetos\Duplicação G2\0 - Documentos Gerais\Documentos com unidade\GRD-COM-EC1-Duplicação G2-0000001","True","1","GRD-COM-EC1-Duplicação G2-0000001.xlsx","GRD-COM-EC1-Duplicação G2-0000001.xlsx","True"
"427862","Engenharia\Ecovias Capixaba\Projetos\Duplicação G1B\0 - Documentos Gerais\Documentos com unidade\GRD-COM-EC1-Duplicação G1B-0000001","True","1","GRD-COM-EC1-Duplicação G1B-0000001.xlsx","GRD-COM-EC1-Duplicação G1B-0000001.xlsx","True"
"427864","Engenharia\Ecovias Capixaba\Projetos\Duplicação G1A\0 - Documentos Gerais\Documentos com unidade\GRD-COM-EC1-Duplicação G1A-0000001","True","1","GRD-COM-EC1-Duplicação G1A-0000001.xlsx","GRD-COM-EC1-Duplicação G1A-0000001.xlsx","True"
"427866","Engenharia\Ecovias Capixaba\Projetos\Duplicação D2\0 - Documentos Gerais\Documentos com unidade\GRD-COM-EC1-Duplicação D2-0000001","True","1","GRD-COM-EC1-Duplicação D2-0000001.xlsx","GRD-COM-EC1-Duplicação D2-0000001.xlsx","True"
"427868","Engenharia\Ecovias Araguaia\Projetos\HS-WIM 1 km169+067\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-HS-WIM km169+067-0000001","True","1","GRD-COM-ECA-HS-WIM km169+067-0000001.xlsx","GRD-COM-ECA-HS-WIM km169+067-0000001.xlsx","True"
"427870","Engenharia\Ecovias Araguaia\Projetos\Retorno km 1+238\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Retorno km 1+238-0000001","True","1","GRD-COM-ECA-Retorno km 1+238-0000001.xlsx","GRD-COM-ECA-Retorno km 1+238-0000001.xlsx","True"
"427872","Engenharia\Ecovias Araguaia\Projetos\Acesso 6°Ano 158+630\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Acesso 6°Ano 158+630-0000001","True","1","GRD-COM-ECA-Acesso 6°Ano 158+630-0000001.xlsx","GRD-COM-ECA-Acesso 6°Ano 158+630-0000001.xlsx","True"
"427874","Engenharia\Ecovias Capixaba\Projetos\HS-WIM\0 - Documentos Gerais\Documentos com unidade\GRD-COM-EC1-HS-WIM-0000001","True","1","GRD-COM-EC1-HS-WIM-0000001.xlsx","GRD-COM-EC1-HS-WIM-0000001.xlsx","True"
"427876","Engenharia\Ecovias Capixaba\Projetos\Contorno Dis.\0 - Documentos Gerais\Documentos com unidade\GRD-COM-EC1-Contorno Dis.-0000001","True","1","GRD-COM-EC1-Contorno Dis.-0000001.xlsx","GRD-COM-EC1-Contorno Dis.-0000001.xlsx","True"
"427878","Engenharia\Ecovias Araguaia\Projetos\Acesso 5°Ano 188+550\0 - Documentos Gerais\Documentos com unidade\GRD-COM-ECA-Acesso 5°Ano 188+550-0000001","True","1","GRD-COM-ECA-Acesso 5°Ano 188+550-0000001.xlsx","GRD-COM-ECA-Acesso 5°Ano 188+550-0000001.xlsx","True"
